"book_id","isbn","title","arrival_date","discard_date","remarks"
1,9784569640167,"頭のいい人の片づけ方",2006/03/17,,
2,9784005009350,"はじめての哲学",2021/07/08,,
3,9784815601454,"一度読んだら絶対に忘れない日本史の教科書",2019/12/01,2020/06/07,"紛失の為。"
4,9784623083794,"社会科学系論文の書き方",2018/10/07,,
5,9484004160502,"科学の方法",1997/02/03,,
6,9784344928145,"AIは人類を駆逐するのか？自律世界の到来",2020/08/26,,
7,9784623062928,"よくわかる産業社会学",2012/09/04,,
8,9784831507037,"日本の精神",1995/12/24,2003/03/28,"ページ破損の為。"
9,9784469246001,"英語コーパスを使用した言語研究",2016/07/04,,
10,9784909832313,"「上代のことばと文学」入門",2021/02/13,,
